@relation 'hawks-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1'

@attribute Age {I,A}
@attribute Sex {F,M}
@attribute Wing numeric
@attribute Weight numeric
@attribute Culmen numeric
@attribute Hallux numeric
@attribute Tail numeric
@attribute StandardTail numeric
@attribute Tarsus numeric
@attribute WingPitFat numeric
@attribute KeelFat numeric
@attribute Crop numeric
@attribute Species {RT,CH,SS}

@data
A,F,202,180,12.9,15,160,158,?,?,3,0,SS
I,M,163,125,9.7,10.9,135,131,?,?,2,1,SS
I,M,381,1080,?,32.3,223,216,?,?,?,?,RT
I,?,375,890,24.6,28,219,216,?,?,?,?,RT
I,?,392,1105,26.4,33.6,229,225,?,?,?,?,RT
A,?,398,1310,28.3,35.2,211,217,?,?,2,0,RT
I,?,371,895,26.8,31,204,206,?,?,1,0,RT
A,?,367,1060,26.8,31,204,206,?,?,3,1,RT
A,F,193,165,13.2,14.6,146,156,?,?,1,0,SS
A,?,375,960,28.9,29.3,214,202,?,?,?,?,RT
I,?,408,1270,29.4,33,236,231,?,?,1,1,RT
A,F,252,540,20,28.8,185,211,?,?,1,1,CH
A,M,237,365,17.3,19.9,195,191,?,?,3,?,CH
I,?,399,1170,28.3,29.9,247,236,?,?,0,3,RT
A,F,268,590,20,19.9,215,206,?,?,2,0.5,CH
I,?,388,1225,29,31.5,227,219,?,?,3,0,RT
A,F,200,175,12.3,15.6,155,152,?,?,3,0.5,SS
I,F,192,170,12.4,15.5,159,150,?,?,4,0.5,SS
A,M,167,100,10,11.3,132,131,?,?,4,0.25,SS
I,?,370,1060,26.6,31.9,225,220,?,?,2,0,RT
A,M,162,110,10,11.8,130,131,?,?,3,1,SS
I,?,363,850,25.5,30,220,216,?,?,0,0,RT
I,?,371,1145,25.5,10.3,215,214,?,?,2,1,RT
A,F,199,165,12.5,15.7,161,155,?,?,4,1,SS
I,?,386,1090,26.1,28.2,226,225,?,?,2,0.5,RT
I,?,400,1345,32.6,33.9,227,233,?,?,3,0.25,RT
I,?,390,1050,26.6,29,236,232,?,?,1,1,RT
A,F,199,200,12.5,14.9,169,156,?,?,3,1,SS
A,F,254,505,19.6,24,212,209,?,?,3,0.25,CH
A,?,382,1040,27.1,30.8,210,203,?,?,1,0,RT
A,F,196,155,12.7,14.3,164,154,?,?,4,0,SS
I,?,354,965,26.2,28.5,226,222,?,?,2,0,RT
I,?,403,1105,28.9,33.2,242,236,?,?,1,0,RT
I,F,194,155,12.6,13.7,153,149,?,?,0,4,SS
I,?,375,1045,27.2,30,221,214,?,?,2,1,RT
I,?,369,900,24.4,27.3,220,212,?,?,2,0,RT
I,?,368,1015,25.7,30.3,219,216,?,?,2,0,RT
A,?,393,1385,27.9,32.6,225,222,?,?,2,0,RT
I,?,370,1165,26,31.5,221,212,?,?,2,0.25,RT
I,?,378,905,28,32.3,215,216,?,?,0,0,RT
I,?,369,985,26,31.1,223,228,?,?,2,0,RT
I,?,364,800,25.5,28.6,219,211,?,?,2,0,RT
I,?,387,995,26.9,31.4,235,226,?,?,2,0,RT
A,?,410,1460,29.4,33.6,216,221,?,?,2,1,RT
I,F,194,165,11.9,14.1,151,158,?,?,3,0,SS
A,?,410,1585,30.6,39.8,130,251,?,?,3,0,RT
A,F,194,185,13.1,15.5,154,163,?,?,1,0,SS
I,?,373,920,25,28.3,223,226,?,?,2,0,RT
I,?,390,1460,29.3,35.6,221,234,?,?,1,0.5,RT
A,?,404,1315,30,32.5,220,245,?,?,1,0,RT
I,?,375,1019,26,29.9,186,205,?,?,0,1,RT
I,?,395,1215,29.7,31.3,217,223,?,?,2,0,RT
I,?,379,1005,27.8,31.4,209,224,?,?,1,0,RT
I,?,382,1350,27.9,29.9,215,217,?,?,2,0,RT
I,?,404,1145,27.7,31.8,214,226,?,?,1,0,RT
A,F,205,175,12.25,15.5,169,164,?,?,4,0,SS
A,?,377,1010,25.4,29,207,214,?,?,0,0.5,RT
I,M,184,155,12,14.9,153,157,?,?,3,0,SS
I,?,390,1120,26.6,30,210,225,?,?,1,0.5,RT
A,?,404,280,28.2,31.55,224,226,?,?,3,0,RT
I,?,351,775,25.4,29.3,200,215,?,?,1,0,RT
I,?,394,1210,29.4,31.7,207,227,?,?,2,0,RT
A,M,175,107,10,11.4,137,146,?,?,1,0,SS
A,?,372,909,24.4,25.4,212,216,?,?,2,0.25,RT
I,M,169,95,10,11.85,132,144,?,?,2,0,SS
I,?,376,1145,25.1,31.55,226,234,?,?,2,0.75,RT
I,?,399,1150,27.2,29.55,232,243,?,?,2,0,RT
I,?,399,1560,30,33.85,228,232,?,?,3,1,RT
I,?,357,940,23.6,28.35,205,212,?,?,3,0,RT
I,F,195,145,11.7,14.6,155,160,?,?,4,0,SS
I,?,400,1089,27.3,33.1,228,238,?,?,1,0.5,RT
I,?,382,1194,29.4,33.8,237,234,?,?,1,0,RT
I,M,161,95,10.1,11.3,135,129,?,?,4,0,SS
I,?,390,1015,28,30.1,230,220,?,?,2,0,RT
I,?,379,975,24.1,29.1,219,227,?,?,2,0,RT
I,?,376,1035,26.8,30.5,223,234,?,?,2,5,RT
A,?,331,1055,27,30.4,210,223,?,?,2,1,RT
I,?,371,945,26.1,30.2,222,226,?,?,1,0,RT
I,M,160,90,11,11.8,124,129,?,?,3,0.5,SS
I,?,361,785,25.2,28.7,201,211,?,?,1,0.5,RT
A,F,268,56,19.3,26.1,206,223,?,?,3,0.25,CH
I,?,394,1220,30.3,34.5,234,234,?,?,1,0,RT
A,F,191,175,13,15.3,149,154,?,?,4,0.5,SS
A,?,358,1025,27.4,29,204,201,?,?,1,1,RT
I,?,380,1000,26.9,29,204,217,?,?,3,1,RT
A,F,188,175,12.1,14.2,154,150,?,?,4,0,SS
I,?,397,1210,28.3,34,224,219,?,?,2,0.5,RT
A,F,196,180,13.1,13.9,150,160,?,?,4,1,SS
A,F,190,175,12.8,14.6,147,149,?,?,4,0.25,SS
I,M,161,90,9.8,11.1,130,136,?,?,3,0.5,SS
A,F,145,320,16.5,20.5,180,196,?,?,1,0.25,CH
I,?,392,1185,28.5,33,229,234,?,?,2,0,RT
I,F,190,?,11.9,14.6,153,160,?,?,2,0.5,SS
I,M,230,350,16.4,21.3,187,206,?,?,2,1,CH
A,?,406,?,27,31.1,222,224,?,?,2,0.5,RT
I,?,363,950,24.6,30.3,214,219,?,?,2,0,RT
I,M,162,85,10.1,11.4,132,137,?,?,2,0,SS
I,?,374,895,26.4,30.8,219,227,?,?,2,0,RT
I,?,412,1150,27.8,33.2,230,240,?,?,1,0.25,RT
I,F,272,565,20.7,24,219,240,?,?,2,0,CH
I,?,388,950,26.5,32.2,230,235,?,?,2,0,RT
I,?,371,990,26.9,29.7,217,221,?,?,2,0,RT
I,M,225,325,15.8,18.7,179,187,?,?,2,0.5,CH
I,?,391,1120,29,33.9,225,236,?,?,2,0.25,RT
I,M,163,90,9.8,11.5,123,131,?,?,3,0.5,SS
I,F,410,1120,28.5,33.6,229,237,?,?,2,0.5,RT
I,?,368,820,25.2,28.7,215,205,?,?,2,0,RT
I,F,410,1200,26.7,29.4,247,255,?,?,2,0,RT
A,F,425,1120,29.4,33.3,222,227,?,?,2,0,RT
I,?,368,1120,24.7,30.8,220,224,?,?,2,1,RT
I,?,392,1220,27.3,34.1,234,237,?,?,1,0,RT
I,M,250,470,18.9,25.3,192,195,?,?,1,0,SS
I,?,418,1310,29.1,31.9,248,255,?,?,2,0.5,RT
I,?,370,920,26.8,29.7,221,223,?,?,3,0,RT
A,M,170,100,10.9,12.2,132,136,?,?,2,0.5,SS
A,F,203,180,13.2,15.6,162,164,?,?,3,1,SS
A,?,370,955,26.5,30.5,218,223,?,?,2,0,RT
A,?,408,1225,28.8,32.7,225,225,?,?,2,0,RT
A,?,393,1400,27.9,35.3,215,221,?,?,3,0,RT
I,?,365,1025,24.6,30.1,225,224,?,?,1,0,RT
I,?,405,1140,28.2,31.9,244,249,?,?,1,0,RT
I,?,381,1080,26.1,31.6,232,233,?,?,0,0,RT
I,?,390,1135,27.6,31.1,238,239,?,?,2,0,RT
I,?,384,1430,29.8,35,231,235,?,?,1,0.25,RT
I,?,390,1050,25.6,29.9,218,221,?,?,1,0.25,RT
I,?,381,920,27,29.6,223,226,?,?,1,0.25,RT
A,F,194,175,12.4,14,152,152,?,?,4,1,SS
I,?,371,905,23.6,26.8,197,204,?,?,3,0.5,RT
I,?,356,915,26.4,28.9,195,204,?,?,2,0,RT
I,?,377,910,25,29,206,217,?,?,1,0,RT
I,?,362,950,25.4,29.7,213,215,?,?,2,0.5,RT
A,M,165,105,10.1,11.8,127,132,?,?,4,1,SS
A,M,155,100,9.3,11.8,122,130,?,?,4,0.5,SS
I,?,400,1225,27.3,34.2,222,233,?,?,2,0,RT
A,M,161,105,10.4,12,124,138,?,?,2,0,SS
I,?,387,1090,27.9,32.4,227,227,?,?,2,0,RT
I,?,409,1350,30,32.7,235,245,?,?,2,0,RT
A,F,195,200,13,13.4,158,172,?,?,3,1,SS
A,F,196,200,13.5,15.4,150,156,?,?,4,0,SS
A,M,169,100,10,11.7,133,135,?,?,3,1,SS
I,?,385,940,26.2,30.5,228,235,?,?,2,0,RT
I,?,377,920,24.7,29.3,219,225,?,?,2,0,RT
I,?,400,1190,29.4,33.3,231,237,?,?,2,0,RT
I,M,164,90,9.4,10.7,127,132,?,?,3,0,SS
A,M,165,95,10.4,11.4,127,130,?,?,3,0,SS
I,?,363,915,25,28.3,209,219,?,?,2,0,RT
A,F,266,535,18.8,25.4,223,229,?,?,3,0,CH
I,?,403,1310,29.1,33.3,237,241,?,?,2,0,RT
I,?,375,950,26.9,30.1,210,211,?,?,2,0,RT
A,M,166,120,10.1,11.7,133,137,?,?,2,1,SS
I,?,373,975,26.1,27.9,215,221,?,?,2,0,RT
I,?,373,990,27.9,31,217,219,?,?,2,0,RT
A,M,170,110,11.4,121,135,143,?,?,1,1,SS
A,?,373,1270,26.5,29.6,207,210,?,?,2,0,RT
I,?,354,960,26,31,211,213,?,?,3,0.25,RT
I,?,394,1290,28.8,30.7,225,232,?,?,2,0,RT
I,M,165,95,10.2,11.6,131,139,?,?,3,0,SS
A,F,261,505,19.2,25.1,203,203,?,?,2,0,CH
I,?,377,1045,26.9,31.5,223,225,?,?,2,0,RT
I,?,364,1090,27.1,30.3,218,223,?,?,2,1,RT
I,?,385,1180,28.6,30,222,225,?,?,2,0,RT
I,?,390,1195,27.6,34.7,235,237,?,?,2,0,RT
A,?,383,1055,27.7,32.7,208,208,?,?,2,0,RT
I,?,365,1025,26.1,30.3,216,223,?,?,2,0,RT
I,F,201,175,12,14.8,157,163,?,?,3,0,SS
I,?,376,940,25.1,31.7,217,220,?,?,2,0,RT
A,?,402,1335,28.3,33.3,219,217,?,?,2,0.25,RT
I,?,394,1085,29.4,32.7,235,230,?,?,1,0.25,RT
I,M,223,375,16.2,20.7,185,208,?,?,2,1,CH
A,?,378,1090,28,30.9,212,217,?,?,2,0.25,RT
I,?,369,995,26,28.2,211,225,?,?,2,0,RT
A,?,378,1090,28,30.7,201,209,?,?,1,0.5,RT
A,?,262,1020,28,31.2,200,207,?,?,2,0,RT
I,M,165,100,10.6,12.1,137,150,?,?,4,1,SS
A,?,379,1000,28.6,32.2,217,224,?,?,1,0,RT
I,?,380,1085,27.4,33.3,223,225,?,?,1,0,RT
A,?,380,1045,24.9,27,199,206,?,?,2,0,RT
I,?,393,1060,27.7,32.4,217,225,?,?,1,0,RT
A,?,389,1135,27.1,32.1,207,210,?,?,2,0,RT
I,?,395,1210,28.5,28.5,222,223,?,?,3,0,RT
I,F,207,185,13,14.3,163,172,?,?,2,1,SS
I,?,367,965,24.8,24.1,217,220,?,?,3,0,RT
A,?,368,905,26.8,27,200,204,?,?,0,0.5,RT
I,?,377,1125,25.3,29.5,220,226,?,?,2,0,RT
I,?,374,950,27.2,29.8,216,224,?,?,2,1,RT
A,?,385,1195,27.3,30.9,216,227,?,?,3,0,RT
I,?,363,1005,25,31.6,222,226,?,?,2,0,RT
I,M,164,95,11.4,130,136,136,?,?,4,0,SS
A,F,199,175,12.3,15,142,149,?,?,4,0,SS
I,?,378,995,26.2,30,213,222,?,?,2,0,RT
I,F,200,165,12.1,14.2,154,158,?,?,4,0.25,SS
I,?,405,1170,29.25,39.8,226,230,?,?,2,0,RT
I,F,194,145,12,14.6,156,161,?,?,3,0,SS
I,F,190,175,12.4,15.2,160,159,?,?,1,0.5,SS
I,F,195,170,13.1,14.8,149,161,?,?,2,1,SS
I,M,161,105,10.3,11.2,131,135,?,?,3,1,SS
I,M,168,95,10,11.4,137,139,?,?,3,0.25,SS
I,M,160,95,9.8,10.8,126,132,?,?,2,1,SS
I,?,392,1085,31.2,34.6,210,219,?,?,1,0,RT
I,F,201,165,12.3,14.8,165,168,?,?,4,0,SS
I,?,395,1115,27.4,32.7,235,240,?,?,1,0,RT
I,?,390,1195,27.6,33,222,228,?,?,1,0.5,RT
I,M,161,100,9.8,11.9,129,132,?,?,3,0,SS
A,M,230,365,16.9,23.55,192,204,?,?,3,0.25,CH
I,F,192,170,11.9,9.5,156,161,?,?,4,0.5,SS
I,M,156,90,9.8,11.3,135,138,?,?,1,0,SS
I,M,158,95,10.7,11.1,129,136,?,?,2,1,SS
I,M,167,115,9.8,11.4,131,135,?,?,3,1,SS
I,F,199,155,11.9,14.5,160,165,?,?,4,0,SS
I,F,320,229,17,21,195,199,?,?,2,0,CH
A,?,389,1165,29,33.1,223,226,?,?,2,0,RT
I,M,227,155,17.1,21,192,204,?,?,1,0.25,CH
A,M,230,340,16.1,20.2,198,202,?,?,2,0,CH
A,F,199,180,12,15.5,152,159,?,?,4,0,SS
I,?,378,235,25.4,30.7,223,231,?,?,1,0.5,RT
I,M,164,105,10.2,11.2,132,137,?,?,2,1,SS
A,?,385,1085,27.5,30.8,216,226,?,?,2,0.5,RT
I,?,369,970,26.1,30.4,207,212,?,?,2.5,0,RT
I,?,378,1030,28.5,31.9,218,223,?,?,2,0,RT
I,?,373,1015,25.5,29.6,215,335,?,?,2.5,0,RT
A,?,419,1030,29.2,31.5,224,229,?,?,2.5,0,RT
I,?,414,1215,26.4,29.2,242,232,?,?,2,0,RT
A,F,203,185,13.5,14.2,157,170,?,?,2.5,0,SS
A,M,162,95,10.2,11,119,121,?,?,3,0.25,SS
I,M,165,95,10,11,130,138,?,?,3,0,SS
A,M,161,95,9.7,11,124,134,?,?,4,0.5,SS
I,M,161,110,10.1,11.8,130,137,?,?,2,0.75,SS
I,?,404,1170,28.4,32.8,237,240,?,?,1,0,RT
I,M,165,105,10.4,11.2,140,139,?,?,3,0.25,SS
A,F,199,175,12.8,14.5,159,160,?,?,3,0,SS
I,M,171,95,10.9,11.7,138,145,?,?,3,0,SS
A,F,213,190,13.7,15.2,159,269,?,?,4,0,SS
A,M,169,105,10.2,11.8,136,142,?,?,3,1,SS
I,?,379,1435,27.4,32.7,221,221,?,?,3,0,RT
I,?,407,1235,30.1,35.8,243,246,?,?,2,0,RT
I,?,376,1055,29.5,32.2,222,220,?,?,3,0,RT
I,?,380,1105,22,30.8,208,212,?,?,2,0.5,RT
A,M,172,120,9.8,11.8,132,141,?,?,2,1,SS
I,?,408,1390,28.4,32.7,245,243,?,?,1,0.75,RT
A,M,167,105,10.3,10.8,131,138,?,?,2,0,SS
A,?,374,1080,26.5,31.3,206,214,?,?,3,0,RT
I,?,376,910,26.1,32.2,220,224,?,?,2,0,RT
I,F,258,490,18,24.2,214,214,?,?,2,0,CH
I,?,370,845,25,27.4,217,220,?,?,2,0,RT
A,F,202,175,13.3,14.9,162,171,?,?,3.5,0,SS
I,?,363,865,25.6,27.3,210,211,?,?,3,0,RT
A,F,200,180,11.9,13.5,163,173,?,?,3,0,SS
I,?,372,2030,26.2,30.2,196,204,?,?,3,0,RT
A,?,378,960,24.6,30,206,214,?,?,3,0,RT
A,F,254,515,19.5,23.8,218,221,?,?,3,0,CH
I,?,361,970,26.3,30.7,218,219,?,?,2,0,RT
A,?,389,1265,26.6,30.6,210,217,?,?,3,0.25,RT
A,?,404,1300,29.4,32.8,224,229,?,?,4,0,RT
I,F,195,170,12.9,14.7,154,162,?,?,2,1,SS
I,F,203,191,13.5,15.5,161,166,?,?,3,0,SS
A,F,253,540,19.1,22.6,209,214,?,?,3,0,CH
I,F,199,185,12,14.9,157,162,?,?,4,0,SS
I,F,194,165,11.9,14.4,158,160,?,?,4,0.25,SS
A,F,196,205,12.2,14,156,159,?,?,3,1,SS
I,M,168,95,10.4,12.1,133,142,?,?,3,0,SS
A,?,395,1170,25.8,30.5,218,225,?,?,3,0.25,RT
I,?,368,1075,27.7,31.7,213,222,?,?,3,0,RT
I,F,210,200,12.1,15.3,165,174,?,?,4,0,SS
I,?,401,965,25.8,29.1,235,241,?,?,2,0,RT
I,?,355,785,22.7,25,206,212,?,?,2,0.75,RT
A,?,377,1095,25.6,31.7,206,210,?,?,3,0,RT
I,F,197,160,12,14.7,153,162,?,?,4,0,SS
I,M,171,95,9.1,11.5,135,142,?,?,3,0,SS
A,?,277,1500,29.7,32.1,207,217,?,?,4,0,RT
A,?,435,1595,27.4,34.5,230,233,?,?,3,0.25,RT
I,?,372,985,25.4,31,224,227,?,?,3,0,RT
A,F,260,565,20,24.2,216,215,?,?,2,0,CH
I,?,390,240,25.2,29.3,218,215,?,?,2,0.25,RT
I,?,359,875,26,31.1,215,220,?,?,2,0,RT
I,?,393,1225,29,33.4,226,224,?,?,2,0,RT
I,?,402,1255,30.6,34.6,242,243,?,?,3,0.25,RT
I,?,362,950,26.8,30.7,212,219,?,?,2,0,RT
I,M,227,330,16,18.5,193,205,?,?,3,0.25,CH
A,?,359,895,27.5,30.1,201,219,?,?,2,0.25,RT
I,M,155,100,9.8,12,129,133,?,?,3,0,SS
I,F,261,455,17.1,26.8,216,220,?,?,2,0,CH
I,M,160,90,10.3,11.5,132,132,?,?,3,0,SS
I,M,166,105,11.3,11.4,131,139,?,?,2,1,SS
I,?,362,1305,28.2,34.3,234,235,?,?,2,1,RT
I,?,375,975,27.2,31.8,220,226,?,?,2,0,RT
I,?,388,1185,28.9,34.3,225,226,?,?,3,0,RT
I,?,392,1030,26.1,30.5,214,215,?,?,2,0,RT
I,?,412,1215,28.7,34.1,230,237,?,?,2,0,RT
I,?,371,1075,26.9,32.8,220,220,?,?,2,0,RT
A,F,255,960,19.7,42.8,200,213,?,?,3,0.75,CH
I,?,391,795,24.3,27.6,209,210,?,?,3,0,RT
I,F,190,180,12.2,14.2,156,161,?,?,4,0.5,SS
I,?,385,1225,27.8,32,225,228,?,?,3,0,RT
I,M,166,110,10,11.9,139,141,?,?,3,1,SS
A,F,197,165,12.2,14.9,159,159,?,?,4,0,SS
I,?,370,920,26.3,32,226,230,?,?,2,0,RT
I,F,190,170,12,15,154,160,?,?,4,1,SS
I,?,400,1315,29.6,34,230,238,?,?,2,1,RT
I,M,162,100,9.4,11.1,131,137,?,?,3,1,SS
I,F,194,155,12.5,14.5,156,160,?,?,4,0,SS
I,?,395,1155,29.9,34.4,233,230,?,?,2,0,RT
I,?,403,1160,29,32.3,235,236,?,?,3,0.25,RT
I,?,386,955,27.9,30.4,226,239,?,?,3,0,RT
A,F,193,190,13.1,14.9,145,146,?,?,4,0,SS
A,F,203,180,13.8,14.7,156,166,?,?,2,0,SS
A,M,159,90,10,11.5,130,134,?,?,3,0,SS
I,M,163,100,9.8,11.7,130,129,?,?,3,0.25,SS
A,M,191,190,12.4,14.8,147,155,?,?,3,1,SS
I,M,166,105,10.3,12,141,142,?,?,3,0,SS
I,?,361,1030,27,30.5,231,233,?,?,2,0,RT
A,F,260,565,19.7,54.5,205,212,?,?,2,0,CH
A,M,234,380,12.4,21.9,192,195,?,?,3,0,CH
I,?,377,1040,28.1,30.9,225,231,?,?,2,0,RT
I,?,361,910,24.3,27.5,205,210,?,?,3,0,RT
I,?,375,1005,26,32.5,226,234,?,?,2,0,RT
I,F,193,180,11.9,14.3,156,163,?,?,4,0,SS
I,F,196,175,12.4,15.6,153,159,?,?,4,0,SS
I,M,159,105,9.8,11,131,137,?,?,4,0.25,SS
I,F,192,190,11.8,14.2,155,162,?,?,3,1,SS
I,?,401,1250,28.2,35.3,230,235,?,?,2.5,0,RT
I,F,198,185,12.6,15.2,165,169,?,?,3,0.25,SS
I,?,407,1275,27.5,33.7,238,245,?,?,2,0,RT
I,M,162,105,9.8,12.5,132,138,?,?,2.5,1,SS
A,F,169,640,16.7,23.6,233,230,?,?,2.5,1,CH
I,M,168,100,10.5,10.7,135,140,?,?,1,0.25,SS
A,M,168,105,10.7,11.6,134,136,?,?,3,0,SS
A,M,223,390,15.9,20.6,181,187,?,?,2.5,1,CH
I,?,375,1030,26.9,31.3,217,226,?,?,2,0,RT
A,?,406,1290,29.3,33.3,227,226,?,?,2,0,RT
I,?,386,1020,26.9,31.6,230,231,?,?,2,0,RT
A,M,160,105,9.9,11.4,136,140,?,?,4,0,SS
I,?,378,1055,26.5,29.9,217,226,?,?,3,0,RT
A,F,193,185,12.3,14.8,154,158,?,?,3,0.33,SS
I,?,379,1010,25,29.3,216,230,?,?,2,0,RT
I,?,364,1015,24.9,29.5,215,219,?,?,2,0.5,RT
A,?,350,1115,29.5,30.3,199,204,?,?,2,0.33,RT
I,?,380,1320,26.7,31.6,210,216,?,?,3,0,RT
A,?,395,1180,30.3,33.4,217,222,?,?,3,0,RT
I,?,372,1145,25.9,32.2,212,225,?,?,3.5,0.4,RT
I,?,376,995,28,30.2,223,228,?,?,2,0,RT
I,?,367,1045,26.1,30.5,215,221,?,?,2,0.25,RT
I,M,230,340,16,19.5,196,198,?,?,3,0,CH
I,?,366,935,25.7,27.1,218,222,?,?,3,0.33,RT
I,?,386,1065,26.1,31,221,229,?,?,2,0.25,RT
I,?,375,1110,27.7,31.3,215,217,?,?,3,0,RT
I,F,199,190,12,15.2,163,173,?,?,4,0,SS
A,?,405,1255,27.9,31.8,218,225,?,?,3,0,RT
A,?,371,1015,24.9,28.4,204,208,?,?,2,0,RT
I,F,193,190,12.2,15.2,151,156,?,?,3,0,SS
I,?,350,960,26.6,29.9,218,224,?,?,2,0,RT
I,F,193,200,11.3,13.5,155,161,?,?,4,0,SS
A,?,368,1090,27.3,30.4,216,220,?,?,2,0,RT
I,M,185,170,12,14.7,156,160,?,?,4,0,SS
I,?,372,1085,25.4,29.8,220,220,?,?,2,0,RT
I,?,396,1065,27.7,30,230,235,?,?,3,0,RT
I,?,365,1125,26.9,29.3,213,220,?,?,3.5,0,RT
I,?,374,1050,25.5,30.3,220,225,?,?,2,0,RT
I,F,253,525,19.5,23.5,213,216,?,?,3,0,CH
I,?,372,980,26.4,29,215,215,?,?,1.5,0,RT
I,?,376,1180,24.4,30.7,214,218,?,?,2,0,RT
I,M,166,115,9.9,11.6,136,140,?,?,2.5,1,SS
I,?,369,1095,26.6,28.4,215,220,?,?,2,0,RT
A,?,391,1330,26.8,30.1,217,220,?,?,2,0,RT
I,F,193,185,12.1,14.9,158,166,?,?,4,0,SS
A,?,397,1100,22.1,28.8,219,215,?,?,2,0,RT
I,?,366,1115,27.1,21,215,219,?,?,2,0.75,RT
A,?,385,1400,30.3,33.3,211,220,?,?,3,0,RT
I,?,400,1175,27.6,32.6,234,235,?,?,2,0,RT
I,F,198,185,11.8,15.1,161,170,?,?,4,0,SS
A,?,365,970,25.9,31.6,208,215,?,?,3,0,RT
I,F,194,170,11.6,14,153,159,?,?,4,1,SS
I,F,195,175,12,15.6,152,159,?,?,3,0.25,SS
I,F,200,165,11.5,14.5,163,168,?,?,3,0,SS
I,?,384,1260,28.6,32.5,226,226,?,?,2.5,0,RT
I,M,159,110,9.9,11.1,125,126,?,?,3,1,SS
I,M,161,100,9.3,11.5,134,138,?,?,2,0.25,SS
I,F,191,190,12.3,14.8,162,168,?,?,3,1,SS
I,M,216,305,16,20.4,185,191,?,?,2,0,CH
I,F,256,510,18.8,23.3,212,217,?,?,2.5,0.125,CH
I,M,161,90,9.5,11.3,123,132,?,?,3,0,SS
A,?,396,1195,27,23.8,228,225,?,?,2,0,RT
I,?,391,1035,27.9,33.1,221,226,?,?,2,0,RT
I,M,160,90,8.8,11.4,131,135,?,?,2.5,0,SS
I,M,183,160,12.7,14.6,143,146,?,?,4,0,SS
I,M,156,85,9.7,11,129,313,?,?,3,0,SS
I,?,393,1155,28.3,30.9,223,230,?,?,2,0,RT
I,?,397,1260,27.8,32.9,232,231,?,?,3,0,RT
I,M,159,95,8.9,10.4,125,130,?,?,3,0.25,SS
I,F,255,440,18.6,22.8,214,220,?,?,2,0,CH
I,M,197,175,10,14.9,150,162,?,?,3,0,SS
I,M,218,295,16.1,19.4,183,187,?,?,2.5,0,CH
I,F,196,160,12.6,14.5,158,166,?,?,4,0,SS
I,?,384,1010,26.8,31.1,230,235,?,?,2,0.5,RT
I,?,385,990,26,29.6,225,229,?,?,3,0,RT
I,M,181,150,11.4,14.3,141,150,?,?,3,0,SS
I,M,225,300,16,20.1,183,192,?,?,2,0,CH
I,?,379,945,24.5,31.3,224,231,?,?,2.5,0,RT
I,F,201,188,11.7,14.9,162,168,?,?,4,0,SS
I,M,161,95,10.6,11.5,131,138,?,?,1,0,SS
A,M,230,330,15.7,19.4,188,196,?,?,1,0,CH
I,M,159,95,9.9,11.2,132,134,?,?,1,0,SS
I,?,367,970,26.4,30.5,215,215,?,?,3,0,RT
I,?,396,1240,28.9,32.8,237,245,?,?,3,0,RT
I,M,157,105,10,11.5,133,137,?,?,3,1,SS
I,F,191,165,11.5,14.9,156,159,?,?,4,0,SS
I,F,191,170,12.1,15.1,163,163,?,?,4,0,SS
I,M,168,100,10.2,11.9,134,137,?,?,3,0,SS
I,?,428,1290,28.4,33.9,253,256,?,?,2,0,RT
A,F,252,470,19.5,28.4,211,213,?,?,3,0,CH
A,F,192,175,11.7,14.2,160,167,?,?,3,1,SS
A,F,195,195,13.6,14,158,163,?,?,4,1,SS
A,M,233,335,16.3,21.3,187,194,?,?,3,0,CH
A,?,364,1150,26.1,28.2,196,202,?,?,2,0,RT
I,?,370,960,25.4,30.4,217,224,?,?,2,0,RT
I,?,400,1130,28.3,29.4,227,230,?,?,2,0,RT
I,?,375,925,25.4,28.6,220,226,?,?,1,0,RT
I,?,398,1205,27.6,33.4,227,235,?,?,2,0,RT
I,?,385,1040,27.2,31.5,238,245,?,?,2,0,RT
I,M,156,100,9.9,11.2,122,130,?,?,4,0.25,SS
I,M,230,335,16.3,19.7,201,210,?,?,2.5,0.5,CH
I,M,220,335,16.2,20,185,190,?,?,2,0,CH
I,M,163,105,10.3,11.7,137,140,?,?,3,0,SS
I,?,376,860,25.6,30,220,227,?,?,2,0,RT
I,?,360,935,25.8,30,212,221,?,?,3,0,RT
A,?,372,1010,24.3,29,197,203,?,?,1,0,RT
I,?,400,1285,29.7,33.5,230,237,?,?,2,0,RT
A,F,194,210,13,14.5,147,150,?,?,4,1,SS
I,?,370,830,23.6,27.8,233,231,?,?,2,0,RT
I,M,160,95,10.2,11.2,135,142,?,?,3,0,SS
I,?,403,1350,28,32.8,140,245,?,?,2,0,RT
I,?,375,1010,25,30.8,218,222,?,?,2,1,RT
I,?,373,960,27.7,32.5,222,225,?,?,2,0,RT
I,?,385,1370,26.4,29.2,233,235,?,?,3,0,RT
I,F,143,170,12.8,13.9,159,?,?,?,3,0.5,SS
I,M,162,100,8.7,11.4,136,143,?,?,4,0,SS
I,?,392,1250,28.6,32.9,222,229,?,?,2,0.25,RT
I,?,372,915,24.7,28.2,203,?,?,?,3,0.5,RT
I,?,375,850,25,28,218,226,?,?,2,0,RT
I,?,415,1285,29.4,34,242,242,?,?,2,0.25,RT
